,ADRA2A,Group
normal_1,50.4,Con
normal_2,7.6,Con
normal_3,71.8,Con
normal_4,50.2,Con
normal_5,63.1,Con
normal_6,71.8,Con
normal_7,14.7,Con
normal_8,11.4,Con
normal_9,71.3,Con
normal_10,34.8,Con
normal_11,82,Con
normal_12,65,Con
normal_13,42.5,Con
normal_14,36.9,Con
symptomatic_1,6,HD
symptomatic_2,6.5,HD
symptomatic_3,12.6,HD
symptomatic_4,34.2,HD
symptomatic_5,9.1,HD
symptomatic_6,10.6,HD
symptomatic_7,14.1,HD
symptomatic_8,5.4,HD
symptomatic_9,8.6,HD
symptomatic_10,44.2,HD
symptomatic_11,14,HD
symptomatic_12,7.6,HD
