Trait,SPINK2,PCDH8,MBL2,LILRA4,BHMT2
0,52.51429824,13.4967278,16.95482629,9.595346894,13.35710089
0,11.58167158,6.896438086,13.39595709,16.7260381,4.072730591
0,35.92486143,0.989828308,17.46766743,15.2165145,4.010831461
0,11.90518778,27.398972,12.73815466,8.325276178,4.339728553
0,20.79712074,1.073913846,2.044647549,4.85065966,6.034185746
0,27.97653208,1.433323458,1.727996001,12.81200902,8.134930812
1,74.8551537,10.08417121,1.227119326,17.59917247,6.714128059
1,125.1677558,29.61665915,2.837238848,25.55859246,35.5500954
1,23.94166066,27.0844821,4.661488189,62.37037976,64.55525887
1,129.305477,31.59645015,1.294278657,60.84623046,67.81389658
1,45.15160189,7.186859698,1.269031088,10.50959716,5.419727838
1,51.58537927,7.855829495,1.269031088,12.8683767,4.869643392
1,33.84809944,11.97417935,2.202134108,33.58870302,16.54484667
1,65.45845909,11.10959414,3.93570724,18.72074043,13.31446752
